Acer_drummondii,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,0.0,0.0,photoautotroph,river-valley|freshwater|coast|marsh|clay|freshwater-lake|ground|limestone|mountain|pond|tropical|temperate|rhizosphere|non-wetland|wetland|city|coasta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Agkistrodon_piscivorus,Animalia,Chordata,Reptilia,Squamata,Viperidae,2624.1101,64.0000,vertebrate|carrion|amphibian|mammal|fish|bird|reptile|egg|insect|carnivore|mollusc,coast|freshwater|clay|marsh|mountain|freshwater-lake|pond|temperate|wetland|city|brackish-water|bay|coastal-plain|terrestrial|temporary-aquatic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Anas_cyanoptera,Animalia,Chordata,Aves,Anseriformes,Anatidae,410.0000,43.1800,plant|seed|omnivore|grass|root|insect|mollusc,coast|freshwater|marsh|freshwater-lake|terrestrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Anhinga_anhinga,Animalia,Chordata,Aves,Suliformes,Anhingidae,1235.0000,109.0000,crustacean|fish|insect|carnivore,coast|freshwater|marsh|freshwater-lake|wetland|terrestrial|estuary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Aristolochia_serpentaria,Plantae,Tracheophyta,Magnoliopsida,Piperales,Aristolochiaceae,0.0,0.0,photoautotroph,non-wetland|waterfall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Asio_flammeus,Animalia,Chordata,Aves,Strigiformes,Strigidae,475.0000,0.0000,vertebrate|mammal|bird|carnivore,freshwater|marsh|temperate|terrestrial|grassland|forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Aythya_valisineria,Animalia,Chordata,Aves,Anseriformes,Anatidae,1600.0000,0.0000,herbivore|seed|leaf|wood|omnivore|root|insect|mollusc,coast|freshwater|marsh|temperate|marine|brackish-water|terrestrial|estuary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Bartramia_longicauda,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,218.0000,0.0000,invertebrate,mountain|terrestrial|grassland                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
Branta_bernicla,Animalia,Chordata,Aves,Anseriformes,Anatidae,1790.0000,0.0000,herbivore,coast|freshwater|ground|temperate|pond|marine|brackish-water|bay|terrestrial|estuary                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Branta_leucopsis,Animalia,Chordata,Aves,Anseriformes,Anatidae,2230.0000,0.0000,herbivore|leaf|root,freshwater|marsh|mountain|temperate|sea-shore|marine|terrestrial|cliff|tundra|ground-underground|polar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Buteo_swainsoni,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,1587.5720,0.0000,vertebrate|amphibian|crustacean|mammal|bird|reptile|invertebrate|insect|carnivore,coast|ground|tropical|city|terrestrial|cliff|grassland|desert|river|valley|woodland-canopy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Carex_decomposita,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,0.0,0.0,photoautotroph,mountain|wetland|terrestrial                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Carex_reniformis,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,0.0,0.0,photoautotroph,wetland                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Carpinus_caroliniana,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,0.0,0.0,photoautotroph,mountain|temperate|coastal-plain|terrestrial|understory|valley|river                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Carya_aquatica,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,0.0,0.0,photoautotroph,river-valley|marsh|clay|ground|backwater|plant-litter|wetland|terrestrial|coastal-plain|understory|valley|river|waterfall                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
